device=cpu params=109 m=4 lr=0.003
ep  58/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  59/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  60/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  61/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep  62/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  63/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  64/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  65/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  66/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  67/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  68/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  69/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  70/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  71/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  72/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  73/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  74/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  75/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  76/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  77/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep  78/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep  79/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  80/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  81/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  82/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  83/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  84/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  85/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  86/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  87/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  88/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  89/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  90/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  91/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  92/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  93/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  94/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  95/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  96/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep  97/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  98/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep  99/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep 100/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep 101/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 102/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep 103/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep 104/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 105/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 106/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep 107/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 108/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep 109/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 110/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep 111/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.7s
ep 112/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 113/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 114/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 115/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 116/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 117/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 118/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep 119/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
