warmstarted from /Users/Hao-Yuan/game_of_life_demo/.claude/worktrees/representation-similarity/representation_similarity/CNN_toy_model/model2/../model1/checkpoints/best_v2.pt (epoch 1); missing=[] unexpected=[]
device=cpu  params=109  m=4  lr=0.001  k=3  warmup_epochs=40  random_frac=0.5
ep  36/60  p=0.90  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.2s
ep  37/60  p=0.93  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.2s
ep  38/60  p=0.95  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.2s
ep  39/60  p=0.97  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.4s
ep  40/60  p=1.00  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.4s
ep  41/60  p=1.00  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.3s
ep  42/60  p=1.00  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.4s
ep  43/60  p=1.00  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.3s
ep  44/60  p=1.00  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.4s
ep  45/60  p=1.00  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.5s
ep  46/60  p=1.00  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.4s
ep  47/60  p=1.00  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.4s
ep  48/60  p=1.00  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.6s
ep  49/60  p=1.00  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.4s
ep  50/60  p=1.00  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.4s
ep  51/60  p=1.00  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.4s
ep  52/60  p=1.00  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.4s
ep  53/60  p=1.00  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.5s
ep  54/60  p=1.00  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.4s
ep  55/60  p=1.00  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.4s
ep  56/60  p=1.00  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.6s
ep  57/60  p=1.00  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.5s
ep  58/60  p=1.00  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.4s
ep  59/60  p=1.00  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.3s
ep  60/60  p=1.00  loss=0.0000  pattern F1=1.0000  random F1=1.0000 rec=1.0000  rollout_diff@10=0.0 @20=0.0  16.5s
best score=1.0000  -> /Users/Hao-Yuan/game_of_life_demo/.claude/worktrees/representation-similarity/representation_similarity/CNN_toy_model/model2/checkpoints/best.pt  (final also saved)
